Local time,Open,High,Low,Close,Volume
01.03.2022 04:15:00.000 GMT+0100,1903.338,1903.398,1903.008,1903.088,207010.0009
01.03.2022 04:16:00.000 GMT+0100,1903.088,1903.316,1902.988,1903.308,89730.002
01.03.2022 04:17:00.000 GMT+0100,1903.308,1903.448,1903.183,1903.271,69219.999
01.03.2022 04:18:00.000 GMT+0100,1903.268,1903.530,1903.257,1903.468,95299.9964
01.03.2022 04:19:00.000 GMT+0100,1903.468,1903.680,1903.463,1903.586,67359.9988
01.03.2022 04:20:00.000 GMT+0100,1903.585,1903.621,1903.368,1903.524,57390.0007
01.03.2022 04:21:00.000 GMT+0100,1903.530,1903.682,1903.386,1903.678,71460.0012
01.03.2022 04:22:00.000 GMT+0100,1903.688,1903.688,1903.418,1903.548,26820.0003
01.03.2022 04:23:00.000 GMT+0100,1903.495,1904.278,1903.495,1904.178,38090.0018
01.03.2022 04:24:00.000 GMT+0100,1904.178,1904.567,1904.148,1904.548,18540.0005
01.03.2022 04:25:00.000 GMT+0100,1904.548,1904.738,1904.358,1904.688,44289.9987
01.03.2022 04:26:00.000 GMT+0100,1904.688,1904.847,1904.518,1904.847,50620.0008
01.03.2022 04:27:00.000 GMT+0100,1904.828,1905.028,1904.798,1904.918,47210.0005
01.03.2022 04:28:00.000 GMT+0100,1904.960,1904.988,1904.688,1904.692,32120.0006
01.03.2022 04:29:00.000 GMT+0100,1904.691,1904.738,1904.494,1904.608,57980.001
01.03.2022 04:30:00.000 GMT+0100,1904.600,1904.636,1904.518,1904.575,65909.9966
01.03.2022 04:31:00.000 GMT+0100,1904.560,1905.318,1904.558,1905.186,72980.0016
01.03.2022 04:32:00.000 GMT+0100,1905.154,1905.368,1905.048,1905.308,48399.9997
01.03.2022 04:33:00.000 GMT+0100,1905.308,1905.548,1905.208,1905.508,43510.0012
01.03.2022 04:34:00.000 GMT+0100,1905.487,1905.618,1904.917,1905.278,75329.9966
01.03.2022 04:35:00.000 GMT+0100,1905.278,1905.307,1904.528,1904.588,55769.9986
01.03.2022 04:36:00.000 GMT+0100,1904.588,1904.648,1904.408,1904.428,32439.9993
01.03.2022 04:37:00.000 GMT+0100,1904.428,1904.458,1904.118,1904.118,38669.9997
01.03.2022 04:38:00.000 GMT+0100,1904.118,1904.178,1904.018,1904.128,50119.9998
01.03.2022 04:39:00.000 GMT+0100,1904.128,1904.288,1904.028,1904.288,56359.9989
01.03.2022 04:40:00.000 GMT+0100,1904.328,1904.438,1904.138,1904.158,49410.0004
01.03.2022 04:41:00.000 GMT+0100,1904.138,1904.508,1904.068,1904.078,61469.9982
01.03.2022 04:42:00.000 GMT+0100,1904.068,1904.128,1903.987,1904.098,37149.9993
01.03.2022 04:43:00.000 GMT+0100,1904.098,1904.105,1904.018,1904.105,14290.0003
01.03.2022 04:44:00.000 GMT+0100,1904.105,1904.105,1903.908,1903.908,15850.0001
01.03.2022 04:45:00.000 GMT+0100,1903.928,1904.488,1903.928,1904.448,13209.9995
01.03.2022 04:46:00.000 GMT+0100,1904.488,1904.598,1904.448,1904.562,16130.0004
01.03.2022 04:47:00.000 GMT+0100,1904.556,1904.625,1904.409,1904.566,47439.9999
01.03.2022 04:48:00.000 GMT+0100,1904.578,1904.628,1904.432,1904.618,51980
01.03.2022 04:49:00.000 GMT+0100,1904.618,1904.798,1904.488,1904.618,48050.0013
